,network,station,NOP,RMSE_RF,ubRMSE_RF,r_RF,LC,Climate,RMSE_cci,ubRMSE_cci,r_cci
AMMA-CATCH_Banizoumbou.csv,AMMA-CATCH,Banizoumbou,,0.03471888832912325,0.034717981857086064,0.43401509557009904,10.0,BSh,0.11142178678891194,0.07061703375987961,0.25851177384571206
AMMA-CATCH_Belefoungou-Mid.csv,AMMA-CATCH,Belefoungou-Mid,,0.0440054957965567,0.03922452662296112,0.8051391373604124,62.0,Aw,0.08888172346849522,0.0358968341258385,0.8219693165237366
AMMA-CATCH_Belefoungou-Top.csv,AMMA-CATCH,Belefoungou-Top,,0.027972179655674133,0.026211988675480042,0.8291131457992122,62.0,Aw,0.10496343856997697,0.032994763931882005,0.8515179851065681
AMMA-CATCH_Nalohou-Mid.csv,AMMA-CATCH,Nalohou-Mid,,0.021621263675257876,0.01979375174117058,0.7519818298822186,10.0,Aw,0.13831170248813754,0.054933876351706344,0.3317438358478051
AMMA-CATCH_Nalohou-Top.csv,AMMA-CATCH,Nalohou-Top,,0.018735709018664684,0.018716344011297993,0.7471853866307109,120.0,Aw,0.12401836837519753,0.04224944974292624,0.8309520127331029
AMMA-CATCH_Tondikiboro.csv,AMMA-CATCH,Tondikiboro,,0.01428944628149649,0.013794166847434492,0.7818471409288344,10.0,BSh,0.0946590760215837,0.043700160934303615,0.36807167647554223
AMMA-CATCH_Wankama.csv,AMMA-CATCH,Wankama,,0.0183498087711651,0.01815656415667842,0.7612484003254867,10.0,BSh,0.10105906820134519,0.04852329082242511,0.43133243403558735
ARM_Anthony.csv,ARM,Anthony,,0.05862204437723153,0.05846670692523586,0.6013842447794331,10.0,Cfa,0.0715367187338248,0.05284719108386506,0.7030372678079113
ARM_Ashton.csv,ARM,Ashton,,0.021818990981350775,0.021772730903056477,0.6418086234912841,130.0,Cfa,0.08610097040513641,0.03147982902001726,0.6401765625524962
ARM_Byron.csv,ARM,Byron,,0.027238271814915765,0.02661132241326517,0.6755725191154597,130.0,Cfa,0.131485537191799,0.03328981910695008,0.6670110835722648
ARM_Coldwater.csv,ARM,Coldwater,,0.019393643987601357,0.0193711589025296,0.6686908810037037,130.0,Cfa,0.060129071400409975,0.03083554854659673,0.6411926365439412
ARM_Cordell.csv,ARM,Cordell,,0.028741485886672608,0.027877612152731934,0.6205065223179345,10.0,Cfa,0.061607457106100307,0.036303659764856035,0.49983649983459405
ARM_Cyril.csv,ARM,Cyril,,0.04909484000828174,0.03457599005288977,0.5744559730703082,130.0,Cfa,0.14045324305302917,0.034793679704223264,0.7305327357861846
ARM_Earlsboro.csv,ARM,Earlsboro,,0.05070240770626336,0.03221232694731367,0.3234008643602279,130.0,Cfa,0.20417626353509563,0.03813868655685312,0.5593509492529031
ARM_ElReno.csv,ARM,ElReno,,0.015254807680362229,0.014996133947497704,0.779400654175777,130.0,Cfa,0.06491235350687943,0.03335943013574686,0.715221136683013
ARM_Halstead.csv,ARM,Halstead,,0.03019923402957459,0.026484606248163105,0.6831759045253663,130.0,Dfa,0.08414563766936198,0.03877413078359153,0.5678178536367722
ARM_Hillsboro.csv,ARM,Hillsboro,,0.0289418965476561,0.02817656397557033,0.5806648486567696,130.0,Dfa,0.08089991331536024,0.0346565874429477,0.5567722933772769
ARM_Lamont-CF1.csv,ARM,Lamont-CF1,,0.028573059115020227,0.02744352285262532,0.6193790649725174,130.0,Cfa,0.06547165044321539,0.03277773951356405,0.6886584123699255
ARM_Lamont-CF2.csv,ARM,Lamont-CF2,,0.03987152237922543,0.03957889707970581,0.8125572594217053,130.0,Cfa,0.0709664407351206,0.04936143370890488,0.712481311589795
ARM_Larned.csv,ARM,Larned,,0.04039015604511355,0.035940761298749346,0.6482822273493897,130.0,Dfa,0.11982459292475114,0.04773740504006393,0.439949662237697
ARM_LeRoy.csv,ARM,LeRoy,,0.021911383340346677,0.01906081721241116,0.1099500544530052,130.0,Dfa,0.11805040476897502,0.03484099544884631,0.5949382294924206
ARM_Meeker.csv,ARM,Meeker,,0.028585983122192973,0.028058176784973746,0.5643908412475526,130.0,Cfa,0.09369350736022843,0.04110232305665516,0.6842771104892162
ARM_Newkirk.csv,ARM,Newkirk,,0.06407411646152358,0.052343071590735,0.5553128374571252,130.0,Cfa,0.09245448056946451,0.06395482288731981,0.1428752872532882
ARM_Okmulgee.csv,ARM,Okmulgee,,0.029401042168949416,0.028500544869272934,0.7798113387055463,100.0,Cfa,0.02464104304496919,0.01971233593738641,0.7520827389392866
ARM_Omega.csv,ARM,Omega,,0.054136894276492036,0.043503955649814255,0.5761371833921136,10.0,Cfa,0.04965343135678086,0.04651315307048465,0.4614886528781149
ARM_Pawhuska.csv,ARM,Pawhuska,,0.0820687462452592,0.07012688859972109,0.10052987917114112,130.0,Cfa,0.08969891479287655,0.07920307866488698,0.11403153598845049
ARM_Plevna.csv,ARM,Plevna,,0.04591759241967659,0.0440970484652539,0.2193305283420881,130.0,Dfa,0.06303792785200923,0.051999611481358135,0.17975418889187222
ARM_Ringwood.csv,ARM,Ringwood,,0.08954831431694509,0.046413720733212205,-0.26277691892301863,130.0,Cfa,0.16755796685006286,0.04858051339366988,0.013707817256238179
ARM_Seminole.csv,ARM,Seminole,,0.029971998162210415,0.023387999913005966,0.39814350774180807,130.0,Cfa,0.07946625784588679,0.03432778077118623,0.5649652731131308
ARM_Towanda.csv,ARM,Towanda,,0.021892049099803742,0.020378185523543833,0.6034870863398886,130.0,Dfa,0.10479674643256597,0.03478507214200078,0.8039574918021377
